amenities,descripcion,nombre,score
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Sheraton Guayaquil Hotel,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Pool / beach towels,Rooftop pool,Outdoor pool,Heated pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Poolside bar,Rooftop bar,Free shuttle or taxi services,Airport transportation,Conference facilities,Banquet room,Meeting rooms,Couples massage,Facial treatments,Massage,Rooftop terrace,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Air conditioning,Fireplace,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Wyndham Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Massage,Baggage storage,Parking garage,Wifi,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Banquet room,Meeting rooms,Salon,Concierge,Non-smoking hotel,Shops,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Continental Hotel,4.0
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Baggage storage,Parking garage,Wifi,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Concierge,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Hair dryer,Safe,Bottled water,Non-smoking rooms,Suites,Family rooms",,Hotel Palace Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Baggage storage,Parking garage,Wifi,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Concierge,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Hair dryer,Safe,Bottled water,Non-smoking rooms,Suites,Family rooms",,Hotel Palace Guayaquil,4.5
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children Activities (Kid / Family Friendly),Free shuttle or taxi services,Wifi,Rooftop pool,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Newspaper,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Courtyard by Marriott Guayaquil,4.0
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Massage,Baggage storage,Parking garage,Wifi,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Banquet room,Meeting rooms,Salon,Concierge,Non-smoking hotel,Shops,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Continental Hotel,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Free airport transportation,Valet parking,Wifi,Hot tub,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Shallow end in pool,Fitness / spa locker rooms,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Kids pool,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,Baggage storage,Concierge,Executive lounge access,Gift shop,Newspaper,Non-smoking hotel,Picnic area,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,Infirmary,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Room service,Safe,Separate living room,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Whirlpool bathtub,Complimentary toiletries,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available",,Hilton Colon Guayaquil,4.5
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children Activities (Kid / Family Friendly),Free shuttle or taxi services,Wifi,Rooftop pool,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Newspaper,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Courtyard by Marriott Guayaquil,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Free airport transportation,Valet parking,Wifi,Hot tub,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Shallow end in pool,Fitness / spa locker rooms,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Kids pool,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,Baggage storage,Concierge,Executive lounge access,Gift shop,Newspaper,Non-smoking hotel,Picnic area,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,Infirmary,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Room service,Safe,Separate living room,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Whirlpool bathtub,Complimentary toiletries,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available",,Hilton Colon Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Pool / beach towels,Rooftop pool,Outdoor pool,Heated pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Poolside bar,Rooftop bar,Free shuttle or taxi services,Airport transportation,Conference facilities,Banquet room,Meeting rooms,Couples massage,Facial treatments,Massage,Rooftop terrace,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Air conditioning,Fireplace,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Wyndham Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Sheraton Guayaquil Hotel,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Sheraton Guayaquil Hotel,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary welcome drink,Happy hour,Kid-friendly buffet,Airport transportation,Shuttle bus service,Taxi service,Banquet room,Meeting rooms,Massage,Salon,Baggage storage,Concierge,Non-smoking hotel,Butler service,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Interconnected rooms available,Room service,Safe,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Oro Verde Guayaquil,4.5
